index	marca	preco
0	Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074	R$ 1.199,99
1	Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto	R$ 1.329,99
2	Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077	R$ 1.199,99
3	Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079	R$ 999,99
4	Cadeira Gamer Husky Gaming Snow, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BK	R$ 629,99
5	Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076	R$ 1.049,99
6	Cadeira Gamer Mymax MX7, Suporta Até 150kg, Giratória, Preto E Vermelho	R$ 679,15
7	Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078	R$ 999,99
8	Cadeira Gamer Mx5, Giratoria, Branco e Rosa - Mymax	R$ 679,15
9	Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e Azul	R$ 679,15
10	Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW	R$ 1.929,99
11	Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082	R$ 949,99
12	Cadeira Gamer Mymax Mx7, Peso Suportado até 150Kg, Giratória, Preto E Azul	R$ 679,15
13	Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Roxo	R$ 679,15
14	Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075	R$ 1.099,99
15	Cadeira Gamer PCTop Racer, Peso Suportado até 120Kg, Reclinável, Descanso de pés, Preta e Vermelha - Se1006	R$ 588,00
16	Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y	R$ 661,11
