;Marca;Preço_normal;Preco_promocao
0;['Placa', 'de', 'Vídeo', 'Galax,', 'GeForce', 'RTX', '3070', '(1-Click', 'OC),', 'LHR,', '8GB,', 'GDDR6,', 'DLSS,', 'Ray', 'Tracing,', '37NSL6MD2KCH'];['Por', 'apenas'];['R$', '3.830,13']
1;['Placa', 'de', 'Vídeo', 'Galax', 'NVIDIA', 'GeForce', 'GTX', '1660', 'Super', '(1-Click', 'OC),', '6GB,', 'GDDR6', '-', '60SRL7DSY91S'];['R$', '2.003,23'];['R$', '1.498,42']
2;['Placa', 'de', 'Vídeo', 'Galax', 'GeForce', 'GTX', '1650', 'EX', '(1-Click', 'OC),', '4GB', 'GDDR6,', '128Bit,', '65SQL8DS66E6'];['R$', '1.616,22'];['R$', '1.291,36']
3;['Placa', 'de', 'Video', 'Nvidia', 'GeForce', 'RTX', '3070', 'EX', '8GB', 'GDDR6', 'LHR', '37NSL6MD2VXI'];['Por', 'apenas'];['R$', '4.585,81']
4;['Placa', 'de', 'Vídeo', 'Galax', 'NVIDIA', 'RTX', '2060', 'Plus', '(1-Click', 'OC),', '6GB', 'GDDR6,', 'LED,', 'Ray', 'Tracing', '-', '26NRL7HP68CX'];['R$', '2.606,15'];['R$', '1.905,10']
5;['Placa', 'de', 'Vídeo', 'Galax', 'Geforce', 'Gtx', '1660Ti', 'OC', '6GB', 'DDR6'];['R$', '2.074,82'];['R$', '1.657,78']
6;['Placa', 'de', 'Vídeo', 'MSI', 'NVIDIA', 'GeForce', 'GTX', '1650', 'D6', 'VENTUS', 'XS', 'OCV1,', '4GB,', 'GDDR6'];['R$', '1.935,40'];['R$', '1.233,82']
7;['Placa', 'de', 'Vídeo', 'Galax', 'NVIDIA', 'GeForce', 'GTX', '1050', 'Ti', '1-Click', 'OC,', '4GB,', 'DDR5,', 'Dual', 'Fan,', 'Preto', '-', '50IQH8DSQ3CC'];['R$', '1.902,01'];['R$', '1.390,37']
8;['Placa', 'de', 'Vídeo', 'Gainward,', 'GeForce', 'RTX', '3060', 'Ti', 'Ghost', '8GB', 'GDDR6', '256BITS', '-', 'NE6306T019P2-190AB', '-', 'LHR'];['R$', '5.449,97'];['R$', '3.242,73']
9;['Placa', 'de', 'Vídeo', 'Galax', 'GeForce', 'GTX', '1630', 'Ex', '1', 'Click', 'OC', 'Galax', '4Gb', 'GDDR6', '64Bits', '63NQL4HP66EX'];['R$', '1.285,07'];['R$', '884,77']
