;Marca;Preco;Preco Boleto
0;Placa de Video MSI GeForce RTX 4070 Ti Ventus 3x OC, 12GB, GDDR6X, 192-bits, 912-V513-001; 8,470.58;7,199.99
1;Placa de Video MSI GeForce RTX 4070 Ti Gaming X Trio, 12GB, GDDR6X, 192-bits, 912-V513-008; 8,705.87;7,399.99
2;Placa de Video PNY GeForce GTX 1660 Ti, 6GB, GDDR6, 192-bit, VCG1660T6DFPPB1-NAC; 1,882.34;1,599.99
3;Placa de Video Gigabyte GeForce RTX 4070 Ti Gaming OC, 12GB, GDDR6X, 192-bits, GV-N407TGAMING OC-12GD; 8,587.06;7,299.00
4;Placa de Video Gigabyte GeForce GTX 1660 Super Windforce OC, 6GB, GDDR6, 192-bit, GV-N166SOC-6GD-NAC; 2,117.64;1,799.99
5;Placa de Video ASRock Radeon RX 7900 XT, 20GB, GDDR6, 320-bit, 90-GA43ZZ-00UANL; 9,175.28;7,798.99
6;Placa de Video Sapphire Radeon RX 7900 XT Gaming, 20GB, GDDR6, 320-bit, 21323-01-20G; 8,823.52;7,499.99
7;Placa de Video Galax Geforce RTX 3060 Ti SG 1-Click OC Plus, 8GB, GDDR6X, 256-Bit, 36ISM6MD1GSP; 3,834.11;3,258.99
8;Placa de Video Asus GeForce RTX 2060 Dual EVO, 12GB, GDDR6, 192-bit, DUAL-RTX2060-12G-EVO; 2,470.58;2,099.99
9;Placa de Video Asus GeForce GTX 1650 Phoenix V2 OC, 4GB, GDDR6, 128-bit, PH-GTX1650-O4GD6-P-V2; 1,482.34;1,259.99
10;Placa de Video ASRock Intel ARC A380 Challenger ITX, 6GB, GDDR6, 96-bit, A380 CLI 6GO; 1,764.69;1,499.99
11;Placa de Video ASRock Intel ARC A750 Challenger D OC, 8GB, GDDR6, 256-bit, A750 CLD 8GO; 2,705.87;2,299.99
12;Placa de Video Zotac GeForce RTX 3060 Ti AMP White Edition LHR, 8GB, GDDR6, 256-Bit, ZT-A30610F-10PLHR; 5,243.64;4,457.09
13;Placa de Video Zotac GeForce RTX 4080 Gaming AMP Extreme AIRO, 16GB, GDDR6X, 256-bits, ZT-D40810B-10P; 12,470.58;10,599.99
14;Placa de Video Gigabyte GeForce RTX 4080 Gaming OC, 16GB, GDDR6X, 256-bits, GV-N4080GAMING OC-16GD; 12,117.64;10,299.99
15;Placa de Video Gigabyte GeForce RTX 4080 Eagle OC, 16GB, GDDR6X, 256-bits, GV-N4080EAGLE-OC-16GD-G10; 12,588.22;10,699.99
16;Placa de Video MSI GeForce RTX 4080 Ventus 3X OC, 16GB, GDDR6X, 256-bits, 912-V511-013; 12,940.00;10,999.00
17;Placa de Video Afox GeForce GTX 750TI, 2GB, GDDR5, 128-bit, AF750TI-2048D5H5-V2; 764.59;649.90
18;Placa de Video Asus GeForce RTX 3050 Dual OC, 8GB, GDDR6, 128-bit, DUAL-RTX3050-O8G-NAC; 2,630.58;2,235.99
19;Placa de Video Zotac GeForce RTX 4090 Trinity OC, 24GB, GDDR6X, 384-bit, ZT-D40900J-10P; 16,445.87;13,978.99
20;Placa de Video Zotac GeForce RTX 4090 AMP Extreme AIRO, 24GB, GDDR6X, 384-bit, ZT-D40900B-10P; 16,816.46;14,293.99
21;Placa de Video Gainward GeForce GT 1030, 2GB, DDR4, 64-bit, NEC103000646-1082F; 588.22;499.99
22;Placa de Video Afox GeForce GT 710, 2GB, DDR3, 64-bit, AF710-2048D3L5; 423.41;359.90
23;Placa de Video Afox Radeon R5 230, 1GB, DDR3, 64-bit, AFR5230-1024D3L9-V2; 235.18;199.90
24;Placa de Video Afox GeForce GT240, 1GB, DDR3, 128-Bit, AF240-1024D3L2-V2; 243.41;206.90
25;Placa de Video Afox GeForce GT 610, 2GB, DDR3, 64-Bit, AF610-2048D3L7-V6; 258.71;219.90
26;Placa de Video Afox GeForce GT610, 1GB, DDR3, 64-Bit, AF610-1024D3L5; 223.41;189.90
27;Placa de Video XFX Radeon RX 6400 Speedster, 4GB, GDDR6, 64-bit, RX-64XL4SFG2; 1,082.34;919.99
28;Placa de Video Afox GeForce GT220, 1GB, DDR3, 128-Bit, AF220-1024D3L2; 218.71;185.90
29;Placa de Video ASRock Radeon RX 6500 XT Challenger ITX OC, 4GB, GDDR6, 64-Bit, 90-GA3BZZ-00UANF; 1,763.53;1,499.00
30;Placa de Video ASRock Radeon RX 6650 XT Challenger D OC, 8GB, GDDR6, 128-bit, 90-GA3RZZ-00UANF; 3,294.11;2,799.99
31;Placa de Video Gigabyte GeForce RTX 3050 Eagle OC, 8GB, GDDR6, 128-bit, GV-N3050EAGLE-OC-8GD; 2,588.22;2,199.99
32;Placa de Video Asus GeForce RTX 3050 TUF Gaming OC, 8GB, GDDR6, 128-bit, TUF-RTX3050-O8G-GAMING; 2,597.64;2,207.99
33;Placa de Video Afox GeForce GT730, 4GB, DDR3, 128-bit, AF730-4096D3L6; 505.76;429.90
34;Placa de Video MSI GeForce RTX 3060 Ventus 3X OC, LHR, 12GB, GDDR6, 192-bit, 912-V397-227-NAC; 3,462.34;2,942.99
